:START_ID,reward,reward_usd,:END_ID,:TYPE
678905,719097821,432522.9688,Binance,REWARDED
678906,694204816,417550.3125,Binance,REWARDED
678907,673549708,405126.6875,SigmaPool,REWARDED
678908,709914625,426999.4375,AntPool,REWARDED
678909,694972304,418011.9375,F2Pool,REWARDED
678910,694450244,417697.9375,Huobi,REWARDED
678911,736453377,442961.9688,BTC.com,REWARDED
678912,696959656,419207.2812,Poolin,REWARDED
678913,702056214,422272.7812,Unknown,REWARDED
678914,699542824,420761.0312,Huobi,REWARDED
678915,683914495,411360.875,TMSPOOL,REWARDED
678916,676228767,406738.0938,F2Pool,REWARDED
678917,702355012,422452.5,AntPool,REWARDED
678918,727281111,437445.0312,Unknown,REWARDED
678919,698500636,420134.1562,Huobi,REWARDED
678920,681562001,409945.9062,F2Pool,REWARDED
678921,683810796,411298.5312,ViaBTC,REWARDED
678922,670415030,403241.2188,F2Pool,REWARDED
678923,692520312,416537.125,F2Pool,REWARDED
678924,713903961,429398.9688,Huobi,REWARDED
678925,726544852,437002.1875,Binance,REWARDED
678926,746283651,448874.6875,OKEX,REWARDED
678927,709021120,426462.0312,BTC.com,REWARDED
678928,715501223,430359.6875,AntPool,REWARDED
678929,690276871,415187.7188,OKEX,REWARDED
678930,691765497,416083.125,ViaBTC,REWARDED
678931,689821092,414913.5938,Poolin,REWARDED
678932,710440670,427315.8438,F2Pool,REWARDED
678933,709293568,426625.9062,Unknown,REWARDED
678934,716121833,430732.9688,Huobi,REWARDED
678935,706994623,425243.125,Binance,REWARDED
678936,701155793,421731.1875,Huobi,REWARDED
678937,699733333,420875.5938,TMSPOOL,REWARDED
678938,723297150,435048.7812,BTC.com,REWARDED
678939,705771376,424507.375,Unknown,REWARDED
678940,696318259,418821.5,SlushPool,REWARDED
678941,708948030,426418.0625,Poolin,REWARDED
678942,694020242,417439.2812,Poolin,REWARDED
678943,703481402,423130,Binance,REWARDED
678944,693132573,416905.375,BTC.com,REWARDED
678945,723303770,435052.75,F2Pool,REWARDED
678946,709224838,426584.5625,Binance,REWARDED
678947,693785220,417297.9375,Unknown,REWARDED
678948,707528273,425564.0938,F2Pool,REWARDED
678949,694494263,417724.4062,ViaBTC,REWARDED
678950,692083719,416274.5,Unknown,REWARDED
678951,698652492,420225.5,AntPool,REWARDED
678952,714194135,429573.5,Unknown,REWARDED
678953,701750512,422088.9062,F2Pool,REWARDED
678954,686476713,412902,AntPool,REWARDED
678955,704129327,423519.7188,AntPool,REWARDED
678956,709725189,426885.5,BTC.com,REWARDED
678957,694078350,417474.25,Binance,REWARDED
678958,694337139,417629.9062,AntPool,REWARDED
678959,683753726,411264.1875,Poolin,REWARDED
678960,688001202,413818.9688,Binance,REWARDED
678961,692148046,416313.2188,Unknown,REWARDED
678962,693786146,417298.5,Unknown,REWARDED
678963,707260507,425403.0625,Poolin,REWARDED
678964,695737496,418472.1875,Huobi,REWARDED
678965,682143677,410295.7812,Poolin,REWARDED
678966,708296208,426026,Poolin,REWARDED
678967,706973005,425230.125,BTC.com,REWARDED
678968,701582340,421987.75,Binance,REWARDED
678969,691939885,416188,Unknown,REWARDED
678970,673047224,404824.4375,BTC.TOP,REWARDED
678971,694346666,417635.625,EMCD,REWARDED
678972,676027516,406617.0312,AntPool,REWARDED
678973,706657017,425040.0625,ViaBTC,REWARDED
678974,699546844,418902.6562,Poolin,REWARDED
678975,705615391,422536.5938,Unknown,REWARDED
678976,692015728,414392.8438,AntPool,REWARDED
678977,681108970,407861.6875,BTC.com,REWARDED
678978,706035311,422788.0625,ViaBTC,REWARDED
678979,690202965,413307.3438,Unknown,REWARDED
678980,674075473,403649.875,Poolin,REWARDED
678981,675629253,404580.3125,Poolin,REWARDED
678982,670001089,401210.0625,Huobi,REWARDED
678983,674406056,403847.8438,ViaBTC,REWARDED
678984,667696210,399829.8438,ViaBTC,REWARDED
678985,665789975,398688.3438,F2Pool,REWARDED
678986,658049146,394053,Poolin,REWARDED
678987,717199949,429473.6875,OKEX,REWARDED
678988,693357617,415196.4062,BTC.com,REWARDED
678989,699087566,418627.625,F2Pool,REWARDED
678990,672001063,402407.6875,ViaBTC,REWARDED
678991,681824141,408289.9375,BTC.com,REWARDED
678992,652426650,390686.125,Huobi,REWARDED
678993,651870941,390353.3438,ViaBTC,REWARDED
678994,680966321,407776.25,F2Pool,REWARDED
678995,661732370,396258.5625,Poolin,REWARDED
678996,663001498,397018.5625,Poolin,REWARDED
678997,705726885,422603.375,SlushPool,REWARDED
678998,672102799,402468.5938,SlushPool,REWARDED
678999,656734956,393266.0312,BTC.com,REWARDED
679000,696249535,416928.1562,Unknown,REWARDED
679001,660945291,395787.25,Poolin,REWARDED
679002,675454324,404475.5625,Poolin,REWARDED
679003,650201440,389353.625,Unknown,REWARDED
679004,648057973,388070.0625,ViaBTC,REWARDED
679005,647381493,387665,AntPool,REWARDED
679006,643051622,385072.1875,BTC.com,REWARDED
679007,665506085,398518.3438,AntPool,REWARDED
679008,635976510,380835.4688,AntPool,REWARDED
679009,643818116,385531.1562,AntPool,REWARDED
679010,664073195,397660.3125,F2Pool,REWARDED
679011,644346477,385847.5625,Unknown,REWARDED
679012,669945395,401176.6875,ViaBTC,REWARDED
679013,680407831,407441.8125,Huobi,REWARDED
679014,655893909,392762.375,Poolin,REWARDED
679015,647262283,387593.5938,SpiderPool,REWARDED
679016,707361288,423582.0938,Unknown,REWARDED
679017,636967180,381428.6875,BTC.com,REWARDED
679018,637527480,381764.2188,Poolin,REWARDED
679019,714209223,427682.7812,Poolin,REWARDED
679020,715639367,428539.1562,F2Pool,REWARDED
679021,709178841,424670.4688,AntPool,REWARDED
679022,693059089,415017.6562,F2Pool,REWARDED
679023,692220006,414515.1875,AntPool,REWARDED
679024,684659443,409987.7812,Poolin,REWARDED
679025,683900115,409533.0625,ViaBTC,REWARDED
679026,719018264,430562.5312,Poolin,REWARDED
679027,708583694,424314.0938,Binance,REWARDED
679028,697436913,417639.1875,F2Pool,REWARDED
679029,692116034,414452.9375,Binance,REWARDED
679030,680379912,407425.0938,SlushPool,REWARDED
679031,674059399,403640.25,ViaBTC,REWARDED
679032,695092525,416235.3125,BTC.com,REWARDED
